,dataset_name,model_name,x_type,edge_type,mean_test_accuracy,test_accuracies,num_epochs,repeat_num,model_params,noise_info,noise_type,noise_level
0,Cora,GNN,noise_type-feature_noise__noise_level-0,edge_index,0.796,"0.805,0.807,0.796,0.773,0.799",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0
1,Cora,GNN,noise_type-feature_noise__noise_level-0.01,edge_index,0.793,"0.794,0.804,0.788,0.789,0.791",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.01
2,Cora,GNN,noise_type-feature_noise__noise_level-0.05,edge_index,0.672,"0.619,0.692,0.685,0.669,0.695",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.05
3,Cora,GNN,noise_type-feature_noise__noise_level-0.1,edge_index,0.73,"0.721,0.74,0.722,0.712,0.754",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.1
4,Cora,GNN,noise_type-feature_noise__noise_level-0.15,edge_index,0.589,"0.576,0.618,0.635,0.601,0.516",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.15
5,Cora,GNN,noise_type-feature_noise__noise_level-0.3,edge_index,0.496,"0.549,0.507,0.532,0.453,0.437",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.3
6,Cora,GNN,noise_type-feature_noise__noise_level-0.45,edge_index,0.312,"0.276,0.317,0.321,0.323,0.325",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.45
7,Cora,GNN,noise_type-feature_noise__noise_level-0.6,edge_index,0.197,"0.204,0.16,0.212,0.214,0.196",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.6
8,Cora,GNN,noise_type-feature_noise__noise_level-0.9,edge_index,0.143,"0.15,0.129,0.153,0.139,0.145",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.9
9,Cora,GNN,noise_type-feature_noise__noise_level-0.95,edge_index,0.142,"0.108,0.181,0.154,0.107,0.158",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.95
10,Cora,GNN,noise_type-feature_noise__noise_level-0.99,edge_index,0.152,"0.167,0.156,0.152,0.142,0.144",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.99
11,Cora,GNN,noise_type-feature_noise__noise_level-1,edge_index,0.194,"0.215,0.295,0.15,0.149,0.161",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,1
