,dataset_name,model_name,x_type,edge_type,mean_test_accuracy,test_accuracies,num_epochs,repeat_num,model_params,noise_info,noise_type,strategy,noise_level,bidirectional
0,Cora,GNN,x,noise_type-edge_removal__strategy-all_edges__noise_level-0__bidirectional-False,0.787,"0.79,0.799,0.783,0.781,0.78",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0,False
1,Cora,GNN,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.01__bidirectional-False,0.802,"0.791,0.803,0.805,0.818,0.794",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.01,False
2,Cora,GNN,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.05__bidirectional-False,0.794,"0.791,0.799,0.786,0.8,0.792",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.05,False
3,Cora,GNN,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.1__bidirectional-False,0.798,"0.795,0.788,0.792,0.805,0.81",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.1,False
4,Cora,GNN,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.15__bidirectional-False,0.796,"0.792,0.806,0.799,0.784,0.798",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.15,False
5,Cora,GNN,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.3__bidirectional-False,0.792,"0.797,0.804,0.797,0.784,0.778",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.3,False
6,Cora,GNN,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.45__bidirectional-False,0.786,"0.793,0.782,0.778,0.789,0.787",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.45,False
7,Cora,GNN,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.6__bidirectional-False,0.761,"0.752,0.749,0.771,0.767,0.768",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.6,False
8,Cora,GNN,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.9__bidirectional-False,0.756,"0.776,0.752,0.75,0.752,0.748",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.9,False
9,Cora,GNN,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.95__bidirectional-False,0.752,"0.751,0.748,0.758,0.77,0.731",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.95,False
