,dataset_name,model_name,x_type,edge_type,mean_test_accuracy,test_accuracies,num_epochs,repeat_num,model_params,noise_info,noise_type,strategy,noise_level,bidirectional
0,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0__bidirectional-True,0.8,"0.811,0.799,0.793,0.79,0.807",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0,True
1,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.01__bidirectional-True,0.795,"0.794,0.8,0.8,0.798,0.783",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.01,True
2,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.05__bidirectional-True,0.789,"0.789,0.799,0.787,0.781,0.791",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.05,True
3,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.1__bidirectional-True,0.787,"0.803,0.765,0.792,0.786,0.791",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.1,True
4,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.15__bidirectional-True,0.78,"0.786,0.771,0.79,0.777,0.776",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.15,True
5,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.3__bidirectional-True,0.779,"0.776,0.782,0.79,0.776,0.772",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.3,True
6,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.45__bidirectional-True,0.77,"0.783,0.768,0.763,0.769,0.768",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.45,True
7,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.6__bidirectional-True,0.762,"0.76,0.743,0.775,0.749,0.783",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.6,True
8,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.9__bidirectional-True,0.733,"0.732,0.728,0.735,0.745,0.724",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.9,True
9,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.95__bidirectional-True,0.746,"0.741,0.739,0.744,0.748,0.756",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.95,True
10,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.99__bidirectional-True,0.731,"0.727,0.73,0.725,0.743,0.729",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.99,True
11,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-1__bidirectional-True,0.742,"0.735,0.729,0.738,0.748,0.761",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,1,True
12,Cora,GAT,x,noise_type-edge_addition__strategy-all_edges__noise_level-0__bidirectional-True,0.75,"0.645,0.756,0.778,0.782,0.791",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0,True
13,Cora,GAT,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.01__bidirectional-True,0.778,"0.748,0.792,0.8,0.781,0.771",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.01,True
14,Cora,GAT,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.05__bidirectional-True,0.772,"0.78,0.801,0.711,0.79,0.777",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.05,True
15,Cora,GAT,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.1__bidirectional-True,0.749,"0.76,0.754,0.768,0.766,0.696",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.1,True
16,Cora,GAT,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.15__bidirectional-True,0.721,"0.761,0.749,0.657,0.73,0.708",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.15,True
17,Cora,GAT,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.3__bidirectional-True,0.696,"0.708,0.76,0.668,0.59,0.754",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.3,True
18,Cora,GAT,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.45__bidirectional-True,0.681,"0.647,0.679,0.771,0.702,0.604",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.45,True
19,Cora,GAT,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.6__bidirectional-True,0.634,"0.583,0.65,0.6,0.586,0.75",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.6,True
20,Cora,GAT,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.9__bidirectional-True,0.664,"0.645,0.712,0.592,0.741,0.63",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.9,True
