,dataset_name,model_name,mean_test_accuracy,exp_params,tot_experiment,x_type,edge_type
0,Cora,GNN,0.142,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.0001, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
1,Cora,GNN,0.214,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.0001, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
2,Cora,GNN,0.156,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.0001, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
3,Cora,GNN,0.162,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.0001, 'weight_decay': 0.001, 'epochs': 20}",1,x,edge_index
4,Cora,GNN,0.22,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.0001, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
5,Cora,GNN,0.19,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.0001, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
6,Cora,GNN,0.25,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.0001, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
7,Cora,GNN,0.178,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.0001, 'weight_decay': 0.001, 'epochs': 20}",1,x,edge_index
8,Cora,GNN,0.146,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.0001, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
9,Cora,GNN,0.124,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.0001, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
10,Cora,GNN,0.178,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.0001, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
11,Cora,GNN,0.132,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.0001, 'weight_decay': 0.001, 'epochs': 20}",1,x,edge_index
12,Cora,GNN,0.354,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.0005, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
13,Cora,GNN,0.212,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.0005, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
14,Cora,GNN,0.386,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.0005, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
15,Cora,GNN,0.324,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.0005, 'weight_decay': 0.001, 'epochs': 20}",1,x,edge_index
16,Cora,GNN,0.302,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.0005, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
17,Cora,GNN,0.218,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.0005, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
18,Cora,GNN,0.16,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.0005, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
19,Cora,GNN,0.126,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.0005, 'weight_decay': 0.001, 'epochs': 20}",1,x,edge_index
20,Cora,GNN,0.17,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.0005, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
21,Cora,GNN,0.092,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.0005, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
22,Cora,GNN,0.19,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.0005, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
23,Cora,GNN,0.152,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.0005, 'weight_decay': 0.001, 'epochs': 20}",1,x,edge_index
24,Cora,GNN,0.386,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.001, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
25,Cora,GNN,0.36,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.001, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
26,Cora,GNN,0.45,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
27,Cora,GNN,0.376,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.001, 'weight_decay': 0.001, 'epochs': 20}",1,x,edge_index
28,Cora,GNN,0.172,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.001, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
29,Cora,GNN,0.114,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.001, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
