,dataset_name,model_name,mean_test_accuracy,exp_params,tot_experiment,x_type
0,Cora,GNN,0.10900000000000001,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 1e-06, 'epochs': 25}",10,x
1,Cora,GNN,0.16340000000000002,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.0005, 'epochs': 25}",10,x
2,Cora,GNN,0.16860000000000003,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.0001, 'epochs': 25}",10,x
3,Cora,GNN,0.15539999999999998,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.001, 'epochs': 25}",10,x
4,Cora,GNN,0.10940000000000001,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.0005, 'weight_decay': 1e-06, 'epochs': 25}",10,x
5,Cora,GNN,0.1476,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.0005, 'weight_decay': 0.0005, 'epochs': 25}",10,x
6,Cora,GNN,0.11159999999999999,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.0005, 'weight_decay': 0.0001, 'epochs': 25}",10,x
7,Cora,GNN,0.12240000000000002,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.0005, 'weight_decay': 0.001, 'epochs': 25}",10,x
8,Cora,GNN,0.15860000000000002,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 1e-06, 'epochs': 25}",10,x
9,Cora,GNN,0.1696,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0005, 'epochs': 25}",10,x
10,Cora,GNN,0.11739999999999999,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 25}",10,x
11,Cora,GNN,0.1314,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.001, 'epochs': 25}",10,x
12,Cora,GNN,0.1502,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.005, 'weight_decay': 1e-06, 'epochs': 25}",10,x
13,Cora,GNN,0.2084,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.005, 'weight_decay': 0.0005, 'epochs': 25}",10,x
14,Cora,GNN,0.1308,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.005, 'weight_decay': 0.0001, 'epochs': 25}",10,x
15,Cora,GNN,0.13979999999999998,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.005, 'weight_decay': 0.001, 'epochs': 25}",10,x
16,Cora,GNN,0.17520000000000002,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.01, 'weight_decay': 1e-06, 'epochs': 25}",10,x
17,Cora,GNN,0.1808,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.01, 'weight_decay': 0.0005, 'epochs': 25}",10,x
18,Cora,GNN,0.13240000000000002,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.01, 'weight_decay': 0.0001, 'epochs': 25}",10,x
19,Cora,GNN,0.2198,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.01, 'weight_decay': 0.001, 'epochs': 25}",10,x
20,Cora,GNN,0.275,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.05, 'weight_decay': 1e-06, 'epochs': 25}",10,x
21,Cora,GNN,0.3278,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.05, 'weight_decay': 0.0005, 'epochs': 25}",10,x
22,Cora,GNN,0.2854,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'lr': 0.05, 'weight_decay': 0.0001, 'epochs': 25}",10,x
